INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,SUSPECT_AGE,OFFICER_GENDER,OFFICER_RACE,SNA_NEIGHBORHOOD,CPD_NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD
1480,08/23/2005 04:24:00 PM,2005-71940,P052351126,DISTRICT 1,9826,INJURY TO PRISONER,12XX RACE ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
1480,08/23/2005 04:24:00 PM,2005-71940,P052351126,DISTRICT 1,9826,INJURY TO PRISONER,12XX RACE ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-3475,02/25/2000 11:34:00 PM,20000164,P00056143,DISTRICT 4,9825,CHEMICAL IRRITANT,22XX SEYMOUR,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
8850,04/02/2017 10:14:00 PM,2017-223215,CPD170402001466,DISTRICT 4,9826,INJURY TO PRISONER,5XX CARPLIN AV,,,MALE,BLACK,ADULT,FEMALE,WHITE,N/A,N/A,N/A
-6953,05/18/2003 03:50:00 PM,20030378,P03137036,DISTRICT 1,9825,CHEMICAL IRRITANT,20XX ELM ST,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-3349,01/02/2000 03:05:00 AM,20000037,NONE,DISTRICT 1,9825,CHEMICAL IRRITANT,7XX W PETE ROSE WAY,,,OTHER,UNKNOWN,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-1256,01/03/1998 01:30:00 AM,9800005,P980030112,DISTRICT 4,9825,CHEMICAL IRRITANT,23XX READING RD,,,FEMALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1859,08/19/1998 12:35:00 AM,9800619,P982301417,DISTRICT 1,9825,CHEMICAL IRRITANT,4XX WCMICKEN,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
7597,09/22/2014 06:40:00 PM,2014-194879,LCP140922001295,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,16XX PLEASANT ST CINCINNATI OHIO 45202,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
2763,11/16/2006 02:40:00 PM,2006-91345,P063200904,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,11XX CHAPEL ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-2930,08/17/1999 04:24:00 PM,9900699,P992290902,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,38XX  CASS,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
1102,05/05/2005 11:52:00 AM,2005-66064,P051250661,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,81XX VINE ST,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
-3611,02/20/2000 03:28:00 AM,20000302,P000510255,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,2XX  FOSDICK,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3611,02/20/2000 03:28:00 AM,20000302,P000510255,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,2XX  FOSDICK,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
7957,06/24/2015 07:30:00 PM,2015-203397,LCP150624001271,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,32XX YORK ST,,,FEMALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
7957,06/24/2015 07:30:00 PM,2015-203397,LCP150624001271,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,32XX YORK ST,,,FEMALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
-4392,11/10/2000 12:44:00 PM,20001089,P003150592,DISTRICT 5,9825,CHEMICAL IRRITANT,23XX SRATFORD AV,,,MALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-4471,12/01/2000 04:23:00 PM,20001169,P003361031,DISTRICT 1,9825,CHEMICAL IRRITANT,8XX EZZARD CHARLES DR,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-6650,02/06/2003 03:20:00 PM,20030056,P030370925,DISTRICT 3,9826,INJURY TO PRISONER,6XX NEAV ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-237,10/29/1996 11:45:00 PM,9600392,P963031404,DISTRICT 4,9825,CHEMICAL IRRITANT,26XX VINE ST,,,MALE,WHITE,UNKNOWN,FEMALE,BLACK,N/A,N/A,N/A
-6663,01/30/2003 01:00:00 AM,20030069,P030300072,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,57XX BELMONT AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
9693,10/05/2018 06:50:00 PM,2018-240901,LCP181005001389,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,29XX BOUDINOT AV,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-6056,05/20/2002 07:28:00 PM,20020309,P021401286,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,5XX E THIRTEENTH ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
3588,11/29/2007 06:57:00 PM,2007-106739,LCP071129001438,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,42XX  VICTORY PY,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-7373,10/09/2003 02:30:00 AM,20030799,P032820130,DISTRICT 1,9826,INJURY TO PRISONER,16XX GOOSE ALLEY,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
8937,05/29/2017 08:33:00 PM,2017-225068,CPD170529001406,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX PRICE AV CINCINNATI OH 45205,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
-2300,01/30/1999 04:08:00 PM,9900067,P990300809,DISTRICT 4,9825,CHEMICAL IRRITANT,27XX GLENDORA,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
3715,01/25/2008 07:00:00 AM,2008-109200,LCP080125000207,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,4XX VINE ST CINCINNATI OHIO 45202,,,MALE,WHITE,ADULT,MALE,BLACK,N/A,N/A,N/A
1145,05/18/2005 01:25:00 PM,2005-66669,P 051380886,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,16XX CHASE AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
1145,05/18/2005 01:25:00 PM,2005-66669,P 051380886,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,16XX CHASE AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-7799,05/03/2004 07:47:00 PM,20040299,P041241406,DISTRICT 3,9825,CHEMICAL IRRITANT,27XX E TOWER DR,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
3231,06/12/2007 11:45:00 PM,2007-99643,#P071632026,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,25XX  FLANIGAN CT,,,MALE,BLACK,ADULT,FEMALE,WHITE,N/A,N/A,N/A
644,07/08/2004 12:50:00 AM,2005-60966,P041900086,DISTRICT 2,9823,NONCOMPLIANT SUSPECT/ARRESTEE,NB I-71  6MM,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
644,07/08/2004 12:50:00 AM,2005-60966,P041900086,DISTRICT 2,9823,NONCOMPLIANT SUSPECT/ARRESTEE,NB I-71  6MM,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-2888,08/04/1999 11:20:00 PM,9900656,P992161449,DISTRICT 1,9825,CHEMICAL IRRITANT,5XX DERRICK TURNBOW,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
9074,09/02/2017 12:10:00 AM,2017-228330,CPD170902000017,DISTRICT 4,9826,INJURY TO PRISONER,19XX BIGELOW AV,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
9074,09/02/2017 12:10:00 AM,2017-228330,CPD170902000017,DISTRICT 4,9826,INJURY TO PRISONER,19XX BIGELOW AV,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
9074,09/02/2017 12:10:00 AM,2017-228330,CPD170902000017,DISTRICT 4,9826,INJURY TO PRISONER,19XX BIGELOW AV,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-4983,04/11/2001 08:15:00 PM,20010402,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX VINE STREET,,,OTHER,UNKNOWN,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-4983,04/11/2001 08:15:00 PM,20010402,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX VINE STREET,,,OTHER,UNKNOWN,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-4983,04/11/2001 08:15:00 PM,20010402,,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX VINE STREET,,,OTHER,UNKNOWN,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1697,06/22/1998 10:40:00 PM,9800456,P981731393,DISTRICT 3,9825,CHEMICAL IRRITANT,XX BOLTWOOD CT,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
4706,05/25/2009 10:15:00 PM,2009-130813,LCP090525001597,DISTRICT 5,9826,INJURY TO PRISONER,29XX W MCMICKEN ST,,,MALE,WHITE,ADULT,MALE,BLACK,N/A,N/A,N/A
-2701,06/10/1999 10:36:00 PM,9900469,P991611498,DISTRICT 4,9825,CHEMICAL IRRITANT,11XX REGENT,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
6155,10/11/2011 03:20:00 PM,2011-162008,LCP111011001096,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,19XX WASHBURN AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
9263,02/14/2018 04:48:00 PM,2018-233342,CPD180214001127,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,9XX ENRIGHT AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-19,08/06/1996 12:41:00 AM,9600171,P962181214,DISTRICT 4,9825,CHEMICAL IRRITANT,35XX EDEN AVNUE,,,MALE,BLACK,UNKNOWN,FEMALE,BLACK,N/A,N/A,N/A
4722,06/02/2009 04:35:00 PM,2009-131140,LCP090602001327,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,18XX LANG ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
5454,08/11/2010 11:40:00 PM,2010-146914,LCP100811001968,VORTEX UNIT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX HENRY ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
6201,11/15/2011 10:15:00 PM,2011-163198,LCP111115001667,DISTRICT 4,9826,INJURY TO PRISONER,13XX CALIFORNIA AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
6201,11/15/2011 10:15:00 PM,2011-163198,LCP111115001667,DISTRICT 4,9826,INJURY TO PRISONER,13XX CALIFORNIA AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-2312,01/30/1999 12:50:00 AM,9900079,P990300051,DISTRICT 1,9825,CHEMICAL IRRITANT,X  GREEN ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-4802,03/13/2001 04:35:00 PM,20010220,P010721195,DISTRICT 1,9826,INJURY TO PRISONER,1XX W LIBERTY,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-733,06/07/1997 02:35:00 AM,9700379,P971580224,DISTRICT 3,9826,INJURY TO PRISONER,22XX ARMOR [PLACE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
2932,02/04/2007 03:26:00 AM,2007-94355,P070350218,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX RIDGEWAY AV 04,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-6788,03/27/2003 04:05:00 PM,20030211,P030861013,DISTRICT 5,9826,INJURY TO PRISONER,27XX WEST MCMICKEN AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-749,06/13/1997 02:30:00 AM,9700396,P971640156,DISTRICT 1,9826,INJURY TO PRISONER,2XX PLUM ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-749,06/13/1997 02:30:00 AM,9700396,P971640156,DISTRICT 1,9826,INJURY TO PRISONER,2XX PLUM ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
7811,04/06/2015 12:58:00 AM,2015-200341,LCP150406000069,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX MICHAEL BANY WAY,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
-2424,03/05/1999 02:30:00 AM,9900192,P990640144,DISTRICT 4,9825,CHEMICAL IRRITANT,26XX READING,,,MALE,BLACK,UNKNOWN,MALE,TWO OR MORE,N/A,N/A,N/A
5673,12/22/2010 12:34:00 PM,2010-151616,101222000642,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX FINDLAY ST,,,MALE,BLACK,JUVENILE,MALE,TWO OR MORE,N/A,N/A,N/A
-2309,02/01/1999 07:29:00 PM,9900076,P990320960,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,47XX PADDOCK,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
5960,06/23/2011 01:07:47 AM,2011-157889,110623000037,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,48XX GLENSHADE AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
5960,06/23/2011 01:07:47 AM,2011-157889,110623000037,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,48XX GLENSHADE AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-5256,07/06/2001 11:56:00 AM,20010676,P011870597,DISTRICT 1,9826,INJURY TO PRISONER,17XX LOGAN ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
8291,02/02/2016 12:47:00 AM,2016-209596,LCP160202000043,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,9XX MARION AV CINCINNATI OHIO 45229,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-6360,09/22/2002 06:38:00 PM,20020615,P022651230,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,35XX WASHINGTON AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1925,09/08/1998 03:15:00 AM,9800685,P982510150,DISTRICT 3,9826,INJURY TO PRISONER,32XX BEEKMAN,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-4475,11/29/2000 09:28:00 PM,20001173,P003341459,DISTRICT 1,9826,INJURY TO PRISONER,13XX RODNEY AL,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-4475,11/29/2000 09:28:00 PM,20001173,P003341459,DISTRICT 1,9826,INJURY TO PRISONER,13XX RODNEY AL,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
3354,08/05/2007 02:12:00 AM,2007-101926,P072170163,DISTRICT 5,9826,INJURY TO PRISONER,43XX DANE AV,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
-2698,06/08/1999 03:21:00 PM,9900466,P991590873,DISTRICT 4,9826,INJURY TO PRISONER,8XX  WINDHAM,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-2698,06/08/1999 03:21:00 PM,9900466,P991590873,DISTRICT 4,9826,INJURY TO PRISONER,8XX  WINDHAM,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-5764,01/16/2002 05:00:00 PM,20020015,P020160999,DISTRICT 1,9825,CHEMICAL IRRITANT,XX W FOURTH ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-6353,09/18/2002 08:51:00 AM,20020608,P022610393,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,3XX EZZARD CHARLES DR,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3646,04/15/2000 03:15:00 AM,20000337,P001060291,DISTRICT 5,9825,CHEMICAL IRRITANT,14XX HOPPLE,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
6237,12/14/2011 09:28:00 AM,2011-164152,LCP111214000392,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX BURTON AV APT 4,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
3619,11/16/2007 11:00:00 PM,2007-107172,P073201680,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,25XX FAIRHILL AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-2206,12/22/1998 04:18:00 PM,9800967,P983560781,DISTRICT 1,9825,CHEMICAL IRRITANT,12XX LINN,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2206,12/22/1998 04:18:00 PM,9800967,P983560781,DISTRICT 1,9825,CHEMICAL IRRITANT,12XX LINN,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
3123,04/27/2007 08:28:00 PM,2007-97607,P071171620,DISTRICT 5,9826,INJURY TO PRISONER,30XX MASSACHUSETTES AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
3123,04/27/2007 08:28:00 PM,2007-97607,P071171620,DISTRICT 5,9826,INJURY TO PRISONER,30XX MASSACHUSETTES AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
3123,04/27/2007 08:28:00 PM,2007-97607,P071171620,DISTRICT 5,9826,INJURY TO PRISONER,30XX MASSACHUSETTES AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-124,07/26/1996 02:33:00 PM,9600279,P962080630,DISTRICT 1,9826,INJURY TO PRISONER,15XX GOOSE ALLEY,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1575,05/07/1998 04:08:00 PM,9800331,P981270719,DISTRICT 3,9825,CHEMICAL IRRITANT,23XX BALTIMORE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2622,03/29/1999 01:15:00 AM,9900390,P990880041,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,19XX W EIGHTH  ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2464,03/23/1999 08:56:00 PM,9900232,P990821165,DISTRICT 2,9826,INJURY TO PRISONER,53XX  BROTHERTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2464,03/23/1999 08:56:00 PM,9900232,P990821165,DISTRICT 2,9826,INJURY TO PRISONER,53XX  BROTHERTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5100,05/27/2001 02:20:00 AM,20010520,P011470144,DISTRICT 1,9825,CHEMICAL IRRITANT,2XX E 13TH STREET,,,MALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-478,02/09/1997 05:45:00 AM,9700117,NONE,DISTRICT 3,9826,INJURY TO PRISONER,32XX WARSAW AV,39.1090912729244,-84.5635237565382,MALE,WHITE,UNKNOWN,FEMALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
2283,05/26/2006 07:09:00 PM,2006-83310,P061461555,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,19XX KNOB  COURT,,,MALE,BLACK,ADULT,FEMALE,WHITE,N/A,N/A,N/A
-3770,05/04/2000 07:20:00 PM,20000463,P001251283,DISTRICT 1,9825,CHEMICAL IRRITANT,17XX VINE,,,MALE,BLACK,UNKNOWN,MALE,ASIAN,N/A,N/A,N/A
-788,06/17/1997 04:44:00 AM,9700435,P971680188,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,19XX MILLVALE COURT,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
4193,08/27/2008 04:00:00 PM,2008-119448,LCP080827001039,VORTEX UNIT,9826,INJURY TO PRISONER,20XX ELM ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
5110,01/12/2010 09:39:00 PM,2010-139634,LCP100112001847,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,50XX ORIENT AV,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
-2947,08/28/1999 08:35:00 AM,9900716,P992400401,DISTRICT 4,9826,INJURY TO PRISONER,18XX YORKTOWN,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
1884,01/08/2006 06:30:00 PM,2006-77360,P060081026,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX W 3RD ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-8124,08/15/2004 11:07:00 PM,20040628,P042281611,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX W MCMICKEN AV 17,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-8124,08/15/2004 11:07:00 PM,20040628,P042281611,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX W MCMICKEN AV 17,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2974,09/03/1999 11:38:00 PM,9900743,P992461792,DISTRICT 1,9826,INJURY TO PRISONER,5XX DERRICK TURNBOW,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
9089,08/30/2017 02:14:00 PM,2017-228715,LCP170830000884,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,35XX READING RD,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
5520,09/13/2010 05:46:00 PM,2010-148129,LCP100913001364,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX WEST  MCMICKEN STREET,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-2660,05/30/1999 03:31:00 AM,9900428,P991500333,DISTRICT 4,9826,INJURY TO PRISONER,XX W CORRY,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2660,05/30/1999 03:31:00 AM,9900428,P991500333,DISTRICT 4,9826,INJURY TO PRISONER,XX W CORRY,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3284,12/13/1999 11:45:00 AM,9901054,P993470518,DISTRICT 5,9826,INJURY TO PRISONER,41XX CHAMBERS,,,FEMALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5979,03/21/2002 04:52:00 PM,20020230,P020800994,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,56XX TOMPKINS AV,39.157847129518,-84.3968312249105,MALE,BLACK,UNKNOWN,MALE,WHITE,MADISONVILLE,MADISONVILLE,MADISONVILLE
7872,05/25/2015 02:12:00 AM,2015-201699,LCP150525000115,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX ELIZABETH ST,,,MALE,BLACK,JUVENILE,MALE,TWO OR MORE,N/A,N/A,N/A
-1895,08/28/1998 09:20:00 PM,9800655,P982401392,DISTRICT 4,9825,CHEMICAL IRRITANT,18XX JOSEPHINE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
7697,11/22/2014 04:22:00 PM,2014-197168,LCP141122000,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX E FIFTH ST,,,MALE,WHITE,ADULT,FEMALE,WHITE,N/A,N/A,N/A
-6546,12/24/2002 01:23:00 PM,20020802,P023580605,DISTRICT 5,9826,INJURY TO PRISONER,46XX KINGS RUN DRIVE,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-2279,01/19/1999 08:00:00 PM,9900046,P990191078,DISTRICT 5,9825,CHEMICAL IRRITANT,58XX HAMILTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2279,01/19/1999 08:00:00 PM,9900046,P990191078,DISTRICT 5,9825,CHEMICAL IRRITANT,58XX HAMILTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5820,02/06/2002 05:28:00 PM,20020071,P020371149,DISTRICT 1,9826,INJURY TO PRISONER,6XX EZZARD CHARLES DR,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-8098,07/30/2004 01:30:00 AM,20040602,P042120147,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX W PETE ROSE WAY,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-8098,07/30/2004 01:30:00 AM,20040602,P042120147,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX W PETE ROSE WAY,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-2304,01/31/1999 05:45:00 AM,9900071,P990310355,DISTRICT 4,9825,CHEMICAL IRRITANT,30XX GILBERT,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1185,11/23/1997 08:39:00 PM,9701434,P973270966,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,83XX  MACE AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1185,11/23/1997 08:39:00 PM,9701434,P973270966,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,83XX  MACE AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-553,04/04/1997 04:00:00 PM,9700197,P970940805,DISTRICT 4,9825,CHEMICAL IRRITANT,4X GLENCOE PL,,,FEMALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5735,12/23/2001 11:36:00 PM,20011166,P013571218,DISTRICT 2,9826,INJURY TO PRISONER,22XX BEECHMONT AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5735,12/23/2001 11:36:00 PM,20011166,P013571218,DISTRICT 2,9826,INJURY TO PRISONER,22XX BEECHMONT AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-6156,07/01/2002 10:56:00 PM,20020409,P021821838,DISTRICT 5,9826,INJURY TO PRISONER,7XX CLIFTON COLONY DR,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
5850,04/10/2001 07:10:00 PM,2011-155595,LCP110410001279,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX MAIN ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
